35.725 , 93.781  - 35.725 , 94.25  ;
33.435 , 94.853  - 33.204 , 94.444 ;
32.425 , 19.303  - 32.425 , 18.833 ;
32.425 , 12.627  - 32.425 , 12.157 ;
40.725 , 32.586  - 40.725 , 32.147 ;
40.725 , 25.293  - 40.725 , 24.854 ;
60.55  , 43.293  - 60.55  , 42.823 ;
60.55  , 36.617  - 60.55  , 36.147 ;
11.276 , 29.341  - 11.276 , 29.041 ;
12.883 , 28.693  - 13.007 , 28.967 ;
11.276 , 20.969  - 11.276 , 21.269 ;
32.425 , 12.666  - 32.425 , 13.605 ;
32.425 , 17.855  - 32.425 , 18.795 ;
40.725 , 25.293  - 40.725 , 26.17  ;
40.725 , 31.27   - 40.725 , 32.147 ;
60.55  , 36.656  - 60.55  , 37.595 ;
60.55  , 41.845  - 60.55  , 42.785 ;
11.276 , 28.441  - 11.276 , 29.041 ;
11.276 , 21.269  - 11.276 , 21.869 ;
12.635 , 28.147  - 12.883 , 28.693 ;
48.237 , 60.745  - 49.169 , 60.625 ;
35.725 , 75.905  - 35.725 , 74.965 ;
67.55  , 96.85   - 67.55  , 97.1   ;
67.55  , 99.1    - 67.55  , 99.35  ;
32.425 , 18.833  - 32.425 , 18.795 ;
32.425 , 12.666  - 32.425 , 12.627 ;
60.55  , 42.823  - 60.55  , 42.785 ;
60.55  , 36.656  - 60.55  , 36.617 ;
35.725 , 74.705  - 35.725 , 74.965 ;
23.714 , 58.495  - 23.961 , 58.574 ;
3.0    , 1.0     - 5.299  , 1.0    ;
5.299  , 1.0     - 6.42   , 2.791  ;
8.539  , 1.464   - 8.255  , 1.01   ;
8.315  , 1.0     - 68.45  , 1.0    ;
70.45  , 3.0     - 70.45  , 99.0   ;
68.45  , 101.0   - 5.935  , 101.0  ;
3.935  , 99.0    - 3.935  , 84.794 ;
1.0    , 80.244  - 1.0    , 3.0    ;
67.9   , 76.428  - 67.9   , 55.695 ;
68.75  , 50.329  - 68.75  , 14.0   ;
57.55  , 2.8     - 14.35  , 2.8    ;
3.15   , 14.0    - 3.15   , 41.367 ;
6.35   , 44.567  - 8.189  , 44.567 ;
7.275  , 46.867  - 7.275  , 63.292 ;
6.625  , 63.942  - 5.93   , 63.942 ;
3.58   , 66.292  - 3.58   , 74.553 ;
6.65   , 86.725  - 6.65   , 93.1   ;
10.0   , 96.45   - 29.731 , 96.45  ;
31.38  , 96.016  - 33.435 , 94.853 ;
38.015 , 94.853  - 40.07  , 96.016 ;
41.719 , 96.45   - 58.8   , 96.45  ;
62.15  , 93.1    - 62.15  , 82.178 ;
35.0   , 47.38   - 35.0   , 45.736 ;
35.811 , 43.589  - 37.937 , 41.177 ;
28.834 , 29.83   - 18.737 , 33.505 ;
10.797 , 43.262  - 10.625 , 43.262 ;
10.115 , 43.298  - 6.35   , 43.298 ;
4.419  , 41.367  - 4.419  , 14.0   ;
14.35  , 4.069   - 57.55  , 4.069  ;
67.481 , 14.0    - 67.481 , 50.329 ;
66.102 , 52.179  - 64.627 , 52.619 ;
64.163 , 52.72   - 50.059 , 56.924 ;
15.193 , 22.337  - 13.007 , 21.344 ;
13.007 , 28.967  - 15.193 , 27.974 ;
5.935  , 101.0   - 68.45  , 101.0  ;
8.145  , 1.306   - 8.327  , 1.597  ;
5.299  , 1.0     - 5.317  , 1.0    ;
5.935  , 101.0   - 68.45  , 101.0  ;
6.632  , 2.658   - 5.741  , 1.235  ;
47.98  , 60.778  - 48.237 , 60.745 ;
50.268 , 57.623  - 50.194 , 57.374 ;
50.194 , 57.374  - 64.297 , 53.17  ;
64.297 , 53.17   - 64.371 , 53.419 ;
64.371 , 53.419  - 50.268 , 57.623 ;
10.625 , 43.991  - 10.625 , 43.732 ;
10.625 , 43.732  - 10.797 , 43.732 ;
10.797 , 43.732  - 10.797 , 43.991 ;
10.797 , 43.991  - 10.625 , 43.991 ;
22.73  , 55.049  - 22.599 , 55.242 ;
13.256 , 45.376  - 13.478 , 45.241 ;
12.635 , 22.164  - 14.82  , 23.156 ;
14.82  , 27.154  - 12.635 , 28.147 ;
67.426 , 55.695  - 67.43  , 55.695 ;
67.43  , 55.695  - 67.43  , 76.428 ;
67.43  , 76.428  - 67.426 , 76.428 ;
67.426 , 76.428  - 67.426 , 55.695 ;
64.675 , 79.183  - 64.675 , 79.179 ;
61.68  , 82.178  - 61.676 , 82.178 ;
61.68  , 82.178  - 61.68  , 93.1   ;
61.68  , 93.1    - 61.676 , 93.1   ;
61.676 , 93.1    - 61.676 , 82.178 ;
61.676 , 93.1    - 61.68  , 93.1   ;
58.8   , 95.981  - 58.8   , 95.976 ;
58.8   , 95.976  - 58.8   , 95.981 ;
58.8   , 95.981  - 41.719 , 95.981 ;
41.719 , 95.981  - 41.719 , 95.976 ;
41.719 , 95.976  - 58.8   , 95.976 ;
40.301 , 95.607  - 40.303 , 95.603 ;
41.719 , 95.976  - 41.719 , 95.981 ;
40.303 , 95.603  - 40.301 , 95.607 ;
40.301 , 95.607  - 38.246 , 94.444 ;
38.246 , 94.444  - 38.249 , 94.44  ;
38.249 , 94.44   - 40.303 , 95.603 ;
33.204 , 94.444  - 33.201 , 94.44  ;
38.249 , 94.44   - 38.246 , 94.444 ;
33.201 , 94.44   - 33.204 , 94.444 ;
33.204 , 94.444  - 31.149 , 95.607 ;
31.149 , 95.607  - 31.147 , 95.603 ;
31.147 , 95.603  - 33.201 , 94.44  ;
31.147 , 95.603  - 31.149 , 95.607 ;
29.731 , 95.981  - 29.731 , 95.976 ;
29.731 , 95.976  - 29.731 , 95.981 ;
29.731 , 95.981  - 10.0   , 95.981 ;
10.0   , 95.981  - 10.0   , 95.976 ;
10.0   , 95.976  - 29.731 , 95.976 ;
7.12   , 93.1    - 7.124  , 93.1   ;
10.0   , 95.976  - 10.0   , 95.981 ;
7.124  , 93.1    - 7.12   , 93.1   ;
7.12   , 93.1    - 7.12   , 86.725 ;
7.12   , 86.725  - 7.124  , 86.725 ;
7.124  , 86.725  - 7.124  , 93.1   ;
7.124  , 86.725  - 7.12   , 86.725 ;
7.991  , 84.66   - 7.995  , 84.664 ;
5.558  , 76.397  - 5.559  , 76.392 ;
4.05   , 74.553  - 4.054  , 74.553 ;
4.05   , 74.553  - 4.05   , 66.292 ;
4.05   , 66.292  - 4.054  , 66.292 ;
4.054  , 66.292  - 4.054  , 74.553 ;
5.93   , 64.412  - 5.93   , 64.417 ;
5.93   , 64.412  - 6.625  , 64.412 ;
6.625  , 64.412  - 6.625  , 64.417 ;
6.625  , 64.417  - 5.93   , 64.417 ;
7.745  , 63.292  - 7.749  , 63.292 ;
7.745  , 63.292  - 7.745  , 46.867 ;
7.745  , 46.867  - 7.749  , 46.867 ;
7.749  , 46.867  - 7.749  , 63.292 ;
50.536 , 58.524  - 64.64  , 54.319 ;
66.486 , 55.695  - 66.486 , 76.428 ;
60.736 , 82.178  - 60.736 , 93.1   ;
58.8   , 95.036  - 41.719 , 95.036 ;
40.766 , 94.785  - 38.711 , 93.622 ;
32.739 , 93.622  - 30.684 , 94.785 ;
29.731 , 95.036  - 10.0   , 95.036 ;
8.064  , 93.1    - 8.064  , 86.725 ;
4.994  , 74.553  - 4.994  , 66.292 ;
5.93   , 65.357  - 6.625  , 65.357 ;
8.689  , 63.292  - 8.689  , 46.867 ;
10.625 , 44.931  - 10.797 , 44.931 ;
19.01  , 34.257  - 29.107 , 30.581 ;
37.337 , 40.648  - 35.211 , 43.06  ;
34.2   , 45.736  - 34.2   , 47.38  ;
67.55  , 99.35   - 67.55  , 99.1   ;
67.55  , 97.1    - 67.55  , 96.85  ;
6.632  , 2.658   - 6.42   , 2.791  ;
8.539  , 1.464   - 8.327  , 1.597  ;
32.376 , 49.753  - 32.581 , 50.526 ;
34.2   , 47.38   - 35.0   , 47.38  ;
34.2   , 45.736  - 35.0   , 45.736 ;
35.211 , 43.06   - 35.811 , 43.589 ;
37.337 , 40.648  - 37.937 , 41.177 ;
36.607 , 36.836  - 36.969 , 36.123 ;
32.237 , 32.003  - 32.983 , 31.714 ;
29.107 , 30.581  - 28.834 , 29.83  ;
19.01  , 34.257  - 18.737 , 33.505 ;
17.552 , 37.427  - 16.803 , 37.708 ;
18.817 , 40.245  - 18.109 , 40.618 ;
18.216 , 43.873  - 17.666 , 43.293 ;
16.264 , 45.943  - 15.652 , 45.427 ;
10.0   , 95.976  - 10.0   , 95.036 ;
10.0   , 95.036  - 29.731 , 95.036 ;
29.731 , 95.036  - 29.731 , 95.976 ;
29.731 , 95.976  - 10.0   , 95.976 ;
30.684 , 94.785  - 31.147 , 95.603 ;
29.731 , 95.976  - 29.731 , 95.036 ;
7.124  , 93.1    - 8.064  , 93.1   ;
10.0   , 95.036  - 10.0   , 95.976 ;
31.147 , 95.603  - 30.684 , 94.785 ;
30.684 , 94.785  - 32.739 , 93.622 ;
32.739 , 93.622  - 33.201 , 94.44  ;
33.201 , 94.44   - 31.147 , 95.603 ;
8.064  , 93.1    - 7.124  , 93.1   ;
7.124  , 93.1    - 7.124  , 86.725 ;
7.124  , 86.725  - 8.064  , 86.725 ;
8.064  , 86.725  - 8.064  , 93.1   ;
33.201 , 94.44   - 32.739 , 93.622 ;
38.711 , 93.622  - 38.249 , 94.44  ;
8.064  , 86.725  - 7.124  , 86.725 ;
7.995  , 84.664  - 8.65   , 85.337 ;
38.249 , 94.44   - 38.711 , 93.622 ;
38.711 , 93.622  - 40.766 , 94.785 ;
40.766 , 94.785  - 40.303 , 95.603 ;
40.303 , 95.603  - 38.249 , 94.44  ;
5.559  , 76.392  - 5.745  , 75.471 ;
40.303 , 95.603  - 40.766 , 94.785 ;
41.719 , 95.036  - 41.719 , 95.976 ;
41.719 , 95.976  - 41.719 , 95.036 ;
41.719 , 95.036  - 58.8   , 95.036 ;
58.8   , 95.036  - 58.8   , 95.976 ;
58.8   , 95.976  - 41.719 , 95.976 ;
4.994  , 74.553  - 4.054  , 74.553 ;
4.054  , 66.292  - 4.994  , 66.292 ;
60.736 , 93.1    - 61.676 , 93.1   ;
58.8   , 95.976  - 58.8   , 95.036 ;
61.676 , 93.1    - 60.736 , 93.1   ;
60.736 , 82.178  - 61.676 , 82.178 ;
5.93   , 65.357  - 5.93   , 64.417 ;
6.625  , 64.417  - 6.625  , 65.357 ;
64.675 , 78.239  - 64.675 , 79.179 ;
7.749  , 63.292  - 8.689  , 63.292 ;
66.486 , 76.428  - 67.426 , 76.428 ;
7.749  , 46.867  - 8.689  , 46.867 ;
66.486 , 55.695  - 67.426 , 55.695 ;
10.625 , 43.991  - 10.625 , 44.931 ;
64.64  , 54.319  - 64.371 , 53.419 ;
10.797 , 43.991  - 10.797 , 44.931 ;
50.536 , 58.524  - 50.268 , 57.623 ;
13.256 , 45.376  - 12.452 , 45.863 ;
22.599 , 55.242  - 22.068 , 56.018 ;
22.819 , 58.208  - 23.714 , 58.495 ;
15.735 , 24.324  - 16.325 , 24.214 ;
16.325 , 26.097  - 15.735 , 25.987 ;
14.82  , 23.156  - 15.069 , 22.61  ;
15.069 , 27.701  - 14.82  , 27.154 ;
12.635 , 22.164  - 12.883 , 21.617 ;
12.883 , 21.617  - 15.069 , 22.61  ;
15.069 , 27.701  - 12.883 , 28.693 ;
6.35   , 43.721  - 10.115 , 43.721 ;
6.35   , 44.567  - 6.35   , 43.721 ;
3.15   , 41.367  - 3.996  , 41.367 ;
3.15   , 14.0    - 3.996  , 14.0   ;
3.996  , 14.0    - 3.996  , 41.367 ;
14.35  , 2.8     - 14.35  , 3.646  ;
57.55  , 2.8     - 57.55  , 3.646  ;
57.55  , 3.646   - 14.35  , 3.646  ;
68.75  , 14.0    - 67.904 , 14.0   ;
68.75  , 50.329  - 67.904 , 50.329 ;
67.904 , 50.329  - 67.904 , 14.0   ;
66.421 , 53.25   - 66.223 , 52.585 ;
64.747 , 53.025  - 66.223 , 52.585 ;
24.408 , 58.718  - 23.961 , 58.574 ;
47.514 , 60.838  - 47.98  , 60.778 ;
50.059 , 56.924  - 50.194 , 57.374 ;
64.163 , 52.72   - 64.297 , 53.17  ;
64.627 , 52.619  - 64.691 , 53.085 ;
64.747 , 53.025  - 64.627 , 52.619 ;
66.102 , 52.179  - 66.223 , 52.585 ;
67.481 , 50.329  - 67.904 , 50.329 ;
67.481 , 14.0    - 67.904 , 14.0   ;
57.55  , 4.069   - 57.55  , 3.646  ;
14.35  , 4.069   - 14.35  , 3.646  ;
4.419  , 14.0    - 3.996  , 14.0   ;
4.419  , 41.367  - 3.996  , 41.367 ;
6.35   , 43.298  - 6.35   , 43.721 ;
10.115 , 43.298  - 10.115 , 43.721 ;
10.182 , 43.763  - 10.115 , 43.298 ;
10.625 , 43.262  - 10.625 , 43.732 ;
10.797 , 43.262  - 10.797 , 43.732 ;
13.879 , 44.998  - 13.478 , 45.241 ;
15.193 , 27.974  - 15.069 , 27.701 ;
16.325 , 26.097  - 16.62  , 26.152 ;
16.325 , 24.214  - 16.62  , 24.159 ;
13.007 , 21.344  - 12.883 , 21.617 ;
15.069 , 22.61   - 15.193 , 22.337 ;
29.731 , 95.036  - 29.731 , 95.356 ;
30.841 , 95.064  - 30.684 , 94.785 ;
